threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
0.8300000000000001,0.7148558273403764,0.7823566120240091,0.46880241877032036,0.8932504942106749,0.11123224082149388,0.197829690089752,0.5460961486180708,19475,378,25273,3163
0.8400000000000001,0.7148558273403764,0.7823566120240091,0.46221706806933255,0.8959871589085072,0.09815023210015474,0.17691990745142785,0.5409151402277835,19529,324,25645,2791
0.85,0.7148558273403764,0.7823566120240091,0.4554039222183106,0.9046177138531416,0.0840483893655929,0.1538065512581247,0.5356775468210123,19601,252,26046,2390
0.86,0.7148558273403764,0.7823566120240091,0.4494812483174222,0.9086496028243601,0.07240821493880996,0.13412806983258418,0.5309907895829394,19646,207,26377,2059
0.87,0.7148558273403764,0.7823566120240091,0.4446768415167015,0.9136874361593462,0.06291320860880574,0.11772060275054287,0.5272003206193174,19684,169,26647,1789
0.88,0.7148558273403764,0.7823566120240091,0.44070078071610513,0.9229857819905213,0.05478970319313546,0.10343911831098128,0.5241207872234251,19723,130,26878,1558
0.89,0.7148558273403764,0.7823566120240091,0.43655905071548384,0.9269819193324061,0.04687719791813195,0.0892414808863895,0.5207941623499893,19748,105,27103,1333
0.9,0.7148558273403764,0.7823566120240091,0.4333285013149993,0.935064935064935,0.040512027008018,0.07765943103680732,0.5182412046589981,19773,80,27284,1152
0.91,0.7148558273403764,0.7823566120240091,0.4308227546646234,0.9415041782729805,0.03565902377268251,0.06871548131331955,0.5162428499208952,19790,63,27422,1014
0.92,0.7148558273403764,0.7823566120240091,0.4284205512642631,0.952329360780065,0.030911520607680404,0.05987942368609285,0.5143476154390842,19809,44,27557,879
0.93,0.7148558273403764,0.7823566120240091,0.4263496862639525,0.9599499374217773,0.02697285131523421,0.052471352830511374,0.5126805021196128,19821,32,27669,767
0.9400000000000001,0.7148558273403764,0.7823566120240091,0.42398890016359836,0.9613670133729569,0.022752848501899,0.04445360541413308,0.510721611376321,19827,26,27789,647
0.9500000000000001,0.7148558273403764,0.7823566120240091,0.42216653896332496,0.968365553602812,0.019376846251230834,0.03799344940527495,0.509235091135488,19835,18,27885,551
0.9600000000000001,0.7148558273403764,0.7823566120240091,0.4201163826130175,0.9717391304347827,0.015719510479673654,0.030938538205980068,0.5075323488025225,19840,13,27989,447
0.97,0.7148558273403764,0.7823566120240091,0.41852181656277826,0.976,0.012871008580672387,0.025406962618444343,0.5062088382952725,19844,9,28070,366
0.98,0.7148558273403764,0.7823566120240091,0.4166166207624925,0.974910394265233,0.009565339710226474,0.018944802368100297,0.5046063740811748,19846,7,28164,272
0.99,0.7148558273403764,0.7823566120240091,0.4146700076622005,0.9776536312849162,0.00615417076944718,0.012231347195526822,0.502976344942473,19849,4,28261,175
